Year,GDP_pc,HC_index,Pop_growth,Capital_stock,gini,change_in_cpi,Recession.dummy,UK_gdp_pc_growth,wrl_gdp_growth
1961,15427.131803713668,2.571570158004761,0.760459938521921,2712982.5,0.261,4.19649888238551,0,NA,3.9634423761662
1962,15464.826606935669,2.589919567108154,0.848661387731873,2826336,0.248,2.01854355976229,1,0.24434096824742682,5.32018256782678
1963,16095.442136181935,2.608399868011475,0.748366448717305,2945149,0.271,3.28158694697213,1,4.077740703303118,5.01555698486216
1964,16885.792768530813,2.627012014389038,0.650257748756685,3130285.25,0.264,4.77377455386914,1,4.9104002590410385,6.56962733143212
1965,17135.07447776693,2.645756959915161,0.642468779443559,3306248.25,0.251,3.90961779211889,1,1.476280756570055,5.61064800824002
1966,17307.97522214828,2.66463565826416,0.55130324946533,3471607.75,0.261,2.48211560474804,1,1.0090457710335117,5.43492789149687
1967,17692.858396903226,2.683649301528931,0.538543769542258,3653941.5,0.251,4.69742798827245,1,2.223733104623504,3.73388778494355
1968,18570.518441756012,2.702798366546631,0.486768279639266,3856676.25,0.25,5.44666363048887,1,4.96053280461682,5.9285381650042
1969,18852.07565355565,2.722084283828735,0.415803269484986,4046189,0.257,6.36656841727441,1,1.5161515963202923,5.98173375980468
1970,19285.649758038373,2.741507530212402,0.39872245794476,4227484,0.259,9.44483742337133,1,2.2998746262772785,3.75168512765822
1971,19878.35839787091,2.76375412940979,0.417666617474017,4407585,0.266,7.07109839479797,1,3.0733143413303603,4.27007179675553
1972,20667.24219847693,2.786181449890137,0.3390575157182,4577447.5,0.269,9.19603316657812,1,3.9685560790096006,5.60156777985712
1973,21973.049199206973,2.808790445327759,0.19319818644469,4766246,0.259,16.0440111889861,0,6.318245018806971,6.40315720479813
1974,21413.642341084942,2.831583261489868,0.0630592101531556,4936887,0.251,24.2072876743291,0,-2.5458772382952675,1.92673969357298
1975,21099.646563420774,2.854560852050781,-0.00742336272019876,5090930,0.243,16.5595225588084,0,-1.4663352112766201,0.564638437853631
1976,21719.045497340656,2.877724647521973,-0.024603832530328,5246908,0.243,15.8402667458768,1,2.9355891439134214,5.18457777070363
